dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu,label_2_hd95,label_2_esd_mm,label_2_density_hu,label_3_hd95,label_3_esd_mm,label_3_density_hu,label_4_hd95,label_4_esd_mm,label_4_density_hu
KidneyAbnormalities,fold_2,tumor_033.nii.gz,1.0264912248135103,79.12139180989156,98.66390298019505,,8.842882900850615,12.638179800221975,0.0,0.0,,2.5356407231611353,25.30196525290859,66.55690325026059
KidneyAbnormalities,fold_3,cyst_000.nii.gz,1.7656259536743164,86.21166373402849,99.3759614854133,10.593755722045898,46.24001901431385,12.821013210884866,0.0,0.0,,,31.486882671744194,12.25843366313029
KidneyAbnormalities,fold_3,cyst_003.nii.gz,1.25,92.04452172768481,103.63386579105583,46.6617451726861,16.791602777043895,19.428702010968923,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_3,cyst_006.nii.gz,1.25,79.36933265392865,117.34135179350142,1.25,15.101667575258096,23.374952271859488,,3.2867574907589017,272.48148148148147,0.0,0.0,
KidneyAbnormalities,fold_3,cyst_007.nii.gz,1.25,83.46266464959159,100.16657087426015,1.5117180347442627,19.591167906454004,12.504806820243061,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_3,cyst_008.nii.gz,1.25,78.19625739344359,123.08686545631524,104.13853765234138,6.464156395721937,29.384615384615383,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_3,cyst_021.nii.gz,1.25,80.58511283656554,120.21004304593325,45.66595976670676,6.789514586591714,32.247899159663866,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_3,cyst_032.nii.gz,1.4921875,89.76534796297142,24.16888883989513,50.603119032549195,9.226320959136263,5.483925549915398,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_3,cyst_037.nii.gz,1.40625,74.98136089446606,24.286726188976335,0.9943689110435825,10.514877890793045,3.7918781725888326,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_3,cyst_045.nii.gz,1.25,85.8565012555116,29.889531542554177,2.0906327260129602,42.81483286912374,7.43445021034873,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_3,cyst_046.nii.gz,1.0496123026733577,70.72237506017868,109.93229040808663,23.399886824005925,8.724559980305761,21.11881188118812,0.0,0.0,,0.0,0.0,
KidneyAbnormalities,fold_3,multi_008.nii.gz,0.9750337914081187,93.03667112467112,134.74831676638775,2.59332709992277,11.822083834915771,61.4010989010989,0.0,0.0,,2.5,16.339347254367226,99.41883454734652
KidneyAbnormalities,fold_3,multi_010.nii.gz,1.8648457546726762,82.24765297170639,113.6066468502668,2.637290157991988,29.53795608548667,19.205504870882944,0.0,0.0,,3.0069734269982877,41.33958074853547,97.86676444043322
KidneyAbnormalities,fold_3,multi_013.nii.gz,1.5722352966795397,86.92133756706207,84.93979368103231,2.85659872050661,44.81455707055913,22.521414371364276,0.0,0.0,,2.5,33.158605025361204,53.975059566974
KidneyAbnormalities,fold_3,multi_015.nii.gz,0.779296875,81.9983451669301,177.40257371503586,25.44712757977456,7.676394484296694,80.73076923076923,0.0,0.0,,3.0,22.355768434879547,153.39022111491747
KidneyAbnormalities,fold_3,multi_019.nii.gz,1.7668042591184407,88.48244349763505,75.0040261537796,46.74688358432425,22.724907387467866,18.9068085106383,0.0,0.0,,4.131241209450746,47.661304749956024,48.772301660516604
KidneyAbnormalities,fold_3,multi_052.nii.gz,1.658280189978932,84.0889468996008,92.63949998795732,3.0,28.13894912914016,20.399922869263403,0.0,0.0,,3.082189674318659,34.70217339543604,78.84239745039581
KidneyAbnormalities,fold_3,multi_061.nii.gz,40.292883923249704,85.01247234807764,115.91169918361699,,0.0,,0.0,0.0,,9.082057711654999,116.5729754904064,6.016185554285469
